Sl. No.,Category,State/UT/City,Bankruptcy or Indebtedness - Male,Bankruptcy or Indebtedness - Female,Bankruptcy or Indebtedness - Transgender,Bankruptcy or Indebtedness - Total,Marriage Related Issues (Total) - Male,Marriage Related Issues (Total) - Female,Marriage Related Issues (Total) - Transgender,Marriage Related Issues (Total) - Total,Marriage Related Issues (Non-Settlement of Marriage) - Male,Marriage Related Issues (Non-Settlement of Marriage) - Female,Marriage Related Issues (Non-Settlement of Marriage) - Transgender,Marriage Related Issues (Non-Settlement of Marriage) - Total,Marriage Related Issues (Dowry Related Issues) - Male,Marriage Related Issues (Dowry Related Issues) - Female,Marriage Related Issues (Dowry Related Issues) - Transgender,Marriage Related Issues (Dowry Related Issues) - Total,Marriage Related Issues (Extra Marital affairs) - Male,Marriage Related Issues (Extra Marital affairs) - Female,Marriage Related Issues (Extra Marital affairs) - Transgender,Marriage Related Issues (Extra Marital affairs) - Total,Marriage Related Issues (Divorce) - Male,Marriage Related Issues (Divorce) - Female,Marriage Related Issues (Divorce) - Transgender,Marriage Related Issues (Divorce) - Total,Marriage Related Issues (Others) - Male,Marriage Related Issues (Others) - Female,Marriage Related Issues (Others) - Transgender,Marriage Related Issues (Others) - Total,Failure in Examination - Male,Failure in Examination - Female,Failure in Examination - Transgender,Failure in Examination - Total,Impotency/Infertility - Male,Impotency/Infertility - Female,Impotency/Infertility - Transgender,Impotency/Infertility - Total,Family Problems - Male,Family Problems - Female,Family Problems - Transgender,Family Problems - Total,Illness (Total) - Male,Illness (Total) - Female,Illness (Total) - Transgender,Illness (Total) - Total,Illness (AIDS/STD) - Male,Illness (AIDS/STD) - Female,Illness (AIDS/STD) - Transgender,Illness (AIDS/STD) - Total,Illness (Cancer) - Male,Illness (Cancer) - Female,Illness (Cancer) - Transgender,Illness (Cancer) - Total,Illness (Paralysis) - Male,Illness (Paralysis) - Female,Illness (Paralysis) - Transgender,Illness (Paralysis) - Total,Illness (Insanity/Mental illness) - Male,Illness (Insanity/Mental illness) - Female,Illness (Insanity/Mental illness) - Transgender,Illness (Insanity/Mental illness) - Total,Illness (Other Prolonged Illness) - Male,Illness (Other Prolonged Illness) - Female,Illness (Other Prolonged Illness) - Transgender,Illness (Other Prolonged Illness) - Total,Death of Dear Person - Male,Death of Dear Person - Female,Death of Dear Person - Transgender,Death of Dear Person - Total,Drug Abuse/Alcoholic Addiction - Male,Drug Abuse/Alcoholic Addiction - Female,Drug Abuse/Alcoholic Addiction - Transgender,Drug Abuse/Alcoholic Addiction - Total,Fall in Social Reputation - Male,Fall in Social Reputation - Female,Fall in Social Reputation - Transgender,Fall in Social Reputation - Total,Ideological Causes/Hero Worshipping - Male,Ideological Causes/Hero Worshipping - Female,Ideological Causes/Hero Worshipping - Transgender,Ideological Causes/Hero Worshipping - Total,Love Affairs - Male,Love Affairs - Female,Love Affairs - Transgender,Love Affairs - Total,Poverty - Male,Poverty - Female,Poverty - Transgender,Poverty - Total,Unemployment - Male,Unemployment - Female,Unemployment - Transgender,Unemployment - Total,Property Dispute - Male,Property Dispute - Female,Property Dispute - Transgender,Property Dispute - Total,Suspected/Illicit Relation (Other than Extra Marital Affairs) - Male,Suspected/Illicit Relation (Other than Extra Marital Affairs) - Female,Suspected/Illicit Relation (Other than Extra Marital Affairs) - Transgender,Suspected/Illicit Relation (Other than Extra Marital Affairs) - Total,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Male,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Female,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Transgender,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Total,"Physical Abuse (Rape, etc.) - Male","Physical Abuse (Rape, etc.) - Female","Physical Abuse (Rape, etc.) - Transgender","Physical Abuse (Rape, etc.) - Total",Professional/Career Problem - Male,Professional/Career Problem - Female,Professional/Career Problem - Transgender,Professional/Career Problem - Total,Causes Not Known - Male,Causes Not Known - Female,Causes Not Known - Transgender,Causes Not Known - Total,Other Causes - Male,Other Causes - Female,Other Causes - Transgender,Other Causes - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
21,State,Punjab,160,9,0,169,49,66,0,115,29,31,0,60,1,25,0,26,12,6,0,18,3,4,0,7,4,0,0,4,23,11,0,34,0,1,0,1,207,84,0,291,582,139,1,722,4,0,0,4,18,4,0,22,23,7,0,30,494,112,1,607,43,16,0,59,5,0,0,5,55,0,0,55,12,1,0,13,0,0,0,0,20,13,0,33,95,20,0,115,23,3,0,26,17,3,0,20,7,1,0,8,0,0,0,0,0,0,0,0,11,1,0,12,82,2,0,84,7,4,0,11,1355,358,1,1714
22,State,Rajasthan,9,1,0,10,97,99,0,196,16,25,0,41,4,26,0,30,13,19,0,32,2,0,0,2,62,29,0,91,53,23,0,76,7,1,0,8,901,438,0,1339,454,129,0,583,1,0,0,1,13,12,0,25,6,3,0,9,349,100,0,449,85,14,0,99,4,2,0,6,102,3,0,105,2,0,0,2,0,0,0,0,158,106,0,264,44,3,0,47,50,5,0,55,46,6,0,52,14,5,0,19,0,0,0,0,0,0,1,1,29,0,0,29,632,234,0,866,486,189,0,675,3088,1244,1,4333
23,State,Sikkim,0,0,0,0,15,5,0,20,3,0,0,3,0,1,0,1,3,0,0,3,0,0,0,0,9,4,0,13,1,5,0,6,2,0,0,2,7,6,0,13,56,26,0,82,0,0,0,0,0,0,0,0,0,0,0,0,37,16,0,53,19,10,0,29,0,0,0,0,31,2,0,33,1,0,0,1,0,0,0,0,7,2,0,9,2,1,0,3,8,0,0,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,7,7,0,14,4,2,0,6,143,56,0,199
24,State,Tamil Nadu,221,43,0,264,361,281,0,642,241,193,0,434,0,21,0,21,56,16,0,72,40,34,0,74,24,17,0,41,102,107,0,209,31,19,0,50,4052,2380,1,6433,1973,1061,0,3034,8,1,0,9,225,35,0,260,149,52,0,201,663,324,0,987,928,649,0,1577,125,66,0,191,1017,16,0,1033,2,5,0,7,2,0,0,2,272,234,0,506,24,13,0,37,207,44,0,251,49,19,0,68,50,36,0,86,0,2,0,2,86,39,0,125,100,21,0,121,0,0,0,0,505,329,1,835,9179,4715,2,13896
25,State,Telangana,549,135,0,684,34,54,0,88,27,27,0,54,0,0,0,0,3,2,0,5,4,23,0,27,0,2,0,2,55,70,0,125,0,2,0,2,2180,792,0,2972,324,283,0,607,7,1,0,8,4,8,0,12,28,13,0,41,176,139,0,315,109,122,0,231,8,0,0,8,16,0,0,16,0,0,0,0,0,0,0,0,131,42,0,173,69,7,0,76,40,0,0,40,4,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0,11,6,0,17,446,153,0,599,1742,689,0,2431,5612,2233,0,7845
26,State,Tripura,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,29,15,0,44,0,0,0,0,285,103,0,388,87,51,0,138,0,0,0,0,4,4,0,8,7,0,0,7,31,15,0,46,45,32,0,77,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,19,27,0,46,23,7,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,1,44,19,0,63,493,227,0,720
27,State,Uttar Pradesh,25,0,0,25,277,644,0,921,122,117,0,239,14,391,0,405,16,59,0,75,2,8,0,10,123,69,0,192,75,38,0,113,12,19,0,31,1178,694,0,1872,186,65,0,251,0,0,0,0,3,1,0,4,0,0,0,0,109,30,0,139,74,34,0,108,10,10,0,20,43,8,0,51,13,5,0,18,0,0,0,0,138,79,0,217,112,9,0,121,57,6,0,63,14,1,0,15,12,4,0,16,0,0,0,0,0,3,0,3,19,3,0,22,402,191,0,593,318,179,0,497,2891,1958,0,4849
28,State,Uttarakhand,2,0,0,2,13,19,0,32,0,0,0,0,0,6,0,6,1,0,0,1,0,0,0,0,12,13,0,25,0,0,0,0,0,0,0,0,101,49,0,150,6,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,8,0,0,0,0,22,0,0,22,0,2,0,2,0,0,0,0,11,18,0,29,0,1,0,1,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,58,77,0,135,26,4,0,30,249,172,0,421
29,State,West Bengal,1,0,0,1,521,833,0,1354,148,116,0,264,6,345,0,351,115,113,0,228,77,65,0,142,175,194,0,369,62,43,0,105,0,3,0,3,1936,1395,0,3331,678,311,0,989,0,0,0,0,18,18,0,36,8,10,0,18,443,184,0,627,209,99,0,308,23,11,0,34,37,0,0,37,34,13,0,47,5,0,0,5,322,319,0,641,0,0,0,0,59,16,0,75,172,40,0,212,38,21,0,59,0,5,0,5,0,6,0,6,57,0,0,57,2056,1288,0,3344,1829,1121,0,2950,7830,5425,0,13255
State,State,Total (States),4467,455,0,4922,3549,4479,0,8028,1508,1012,0,2520,157,1800,0,1957,620,625,0,1245,335,302,0,637,929,740,0,1669,1421,1145,0,2566,115,171,0,286,26186,13636,1,39823,15946,7373,3,23322,145,26,0,171,919,333,0,1252,841,253,0,1094,7043,3008,1,10052,6998,3753,2,10753,696,349,0,1045,6955,151,1,7107,396,120,2,518,58,36,0,94,3029,2233,0,5262,998,174,0,1172,2323,298,0,2621,957,217,0,1174,408,241,0,649,0,44,0,44,101,90,1,192,1304,282,0,1586,9663,4574,1,14238,11064,5312,2,16378,89636,41380,11,131027
30,Union Territory,A & N Islands,4,1,0,5,4,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,21,19,0,40,35,11,0,46,0,0,0,0,0,1,0,1,1,0,0,1,14,2,0,16,20,8,0,28,1,1,0,2,14,2,0,16,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,7,0,14,23,11,0,34,110,54,0,164
31,Union Territory,Chandigarh,0,0,0,0,6,1,0,7,2,0,0,2,0,0,0,0,4,1,0,5,0,0,0,0,0,0,0,0,6,4,0,10,0,0,0,0,60,24,0,84,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,3,0,0,3,3,0,0,3,1,0,0,1,0,0,0,0,4,3,0,7,0,0,0,0,9,5,0,14,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,12,5,1,0,6,1,1,0,2,120,40,0,160
32,Union Territory,D & N Haveli,2,0,0,2,4,1,0,5,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,20,14,0,34,9,8,0,17,1,0,0,1,0,0,0,0,2,0,0,2,6,6,0,12,0,2,0,2,2,1,0,3,4,0,0,4,2,3,0,5,0,0,0,0,8,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,14,0,0,0,0,63,38,0,101
33,Union Territory,Daman & Diu,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,19,2,0,21,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,35
34,Union Territory,Delhi,19,0,0,19,123,110,0,233,29,27,0,56,6,52,0,58,8,2,0,10,7,1,0,8,73,28,0,101,25,19,0,44,0,10,0,10,556,231,0,787,173,45,0,218,0,0,0,0,9,5,0,14,24,0,0,24,12,6,0,18,128,34,0,162,1,3,0,4,62,0,0,62,0,0,0,0,0,0,0,0,21,23,0,44,25,5,0,30,91,7,0,98,26,4,0,30,2,2,0,4,0,0,0,0,0,0,0,0,94,4,0,98,348,182,0,530,213,102,0,315,1779,747,0,2526
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,3
36,Union Territory,Puducherry,16,6,0,22,3,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,113,33,0,146,100,50,0,150,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,25,85,40,0,125,11,5,0,16,1,0,0,1,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,26,94,25,0,119,374,126,0,500
Union Territory,Union Territory,Total (UTs),41,7,0,48,141,115,0,256,37,28,0,65,7,52,0,59,13,5,0,18,8,1,0,9,76,29,0,105,32,27,0,59,0,11,0,11,789,323,0,1112,328,114,0,442,1,0,0,1,9,6,0,15,27,0,0,27,58,24,0,82,233,84,0,317,18,10,0,28,84,2,0,86,3,3,0,6,0,0,0,0,48,32,0,80,25,5,0,30,108,12,0,120,31,4,0,35,2,2,0,4,0,0,0,0,0,0,0,0,105,6,0,111,391,199,0,590,332,139,0,471,2478,1011,0,3489
Total (All India),Total (All India),Total (All India),4508,462,0,4970,3690,4594,0,8284,1545,1040,0,2585,164,1852,0,2016,633,630,0,1263,343,303,0,646,1005,769,0,1774,1453,1172,0,2625,115,182,0,297,26975,13959,1,40935,16274,7487,3,23764,146,26,0,172,928,339,0,1267,868,253,0,1121,7101,3032,1,10134,7231,3837,2,11070,714,359,0,1073,7039,153,1,7193,399,123,2,524,58,36,0,94,3077,2265,0,5342,1023,179,0,1202,2431,310,0,2741,988,221,0,1209,410,243,0,653,0,44,0,44,101,90,1,192,1409,288,0,1697,10054,4773,1,14828,11396,5451,2,16849,92114,42391,11,134516
37,City,Agra,4,0,0,4,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,45,31,0,76,6,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,12,0,0,12,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,40,0,113
38,City,Ahmedabad,3,1,0,4,15,11,0,26,2,2,0,4,0,1,0,1,0,0,0,0,3,2,0,5,10,6,0,16,1,14,0,15,0,1,0,1,57,25,0,82,97,64,0,161,1,1,0,2,5,1,0,6,0,1,0,1,26,23,0,49,65,38,0,103,6,0,0,6,6,0,0,6,0,0,0,0,1,1,0,2,16,8,0,24,4,1,0,5,29,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,218,113,0,331,1,1,0,2,464,242,0,706
39,City,Allahabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,City,Amritsar,0,0,0,0,7,5,0,12,7,0,0,7,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,12,19,0,31,17,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,18,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,25,0,66
41,City,Asansol,0,0,0,0,1,7,0,8,1,1,0,2,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,207,75,0,282,51,22,0,73,0,0,0,0,0,0,0,0,0,0,0,0,33,16,0,49,18,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,10,9,1,0,10,282,109,0,391
42,City,Aurangabad,6,0,0,6,3,8,0,11,2,0,0,2,0,5,0,5,0,3,0,3,0,0,0,0,1,0,0,1,17,7,0,24,1,1,0,2,130,35,0,165,16,10,0,26,0,0,0,0,1,0,0,1,0,0,0,0,3,2,0,5,12,8,0,20,1,0,0,1,23,0,0,23,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,5,1,0,6,207,62,0,269
43,City,Bengaluru,123,19,0,142,30,23,0,53,7,11,0,18,0,0,0,0,3,2,0,5,5,5,0,10,15,5,0,20,43,30,0,73,0,2,0,2,414,259,0,673,324,237,0,561,2,0,0,2,5,3,0,8,6,0,0,6,70,62,0,132,241,172,0,413,14,8,0,22,116,3,1,120,4,1,1,6,1,0,0,1,84,50,0,134,40,10,0,50,80,7,0,87,4,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0,46,9,0,55,66,30,0,96,0,0,0,0,1392,688,2,2082
44,City,Bhopal,3,1,0,4,7,23,0,30,0,0,0,0,0,16,0,16,0,1,0,1,0,0,0,0,7,6,0,13,6,2,0,8,1,1,0,2,38,17,0,55,35,22,0,57,0,0,0,0,1,1,0,2,0,0,0,0,13,9,0,22,21,12,0,33,4,0,0,4,38,0,0,38,1,1,0,2,0,0,0,0,16,7,0,23,10,3,0,13,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,2,0,0,2,43,22,0,65,54,24,0,78,264,128,0,392
45,City,Chandigarh,0,0,0,0,6,1,0,7,2,0,0,2,0,0,0,0,4,1,0,5,0,0,0,0,0,0,0,0,6,4,0,10,0,0,0,0,60,24,0,84,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,3,0,0,3,3,0,0,3,1,0,0,1,0,0,0,0,4,3,0,7,0,0,0,0,9,5,0,14,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,12,5,1,0,6,1,1,0,2,120,40,0,160
46,City,Chennai,75,22,0,97,22,24,0,46,0,0,0,0,0,5,0,5,0,0,0,0,7,8,0,15,15,11,0,26,4,7,0,11,6,7,0,13,411,294,1,706,202,137,0,339,1,0,0,1,10,7,0,17,4,2,0,6,40,25,0,65,147,103,0,250,19,10,0,29,292,4,0,296,0,0,0,0,0,0,0,0,30,23,0,53,4,0,0,4,63,4,0,67,4,1,0,5,7,2,0,9,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,228,196,1,425,1369,731,2,2102
47,City,Coimbatore,9,3,0,12,10,4,0,14,8,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,80,42,0,122,49,46,0,95,1,0,0,1,3,1,0,4,2,1,0,3,11,12,0,23,32,32,0,64,3,2,0,5,48,0,0,48,0,0,0,0,0,0,0,0,14,5,0,19,0,0,0,0,9,1,0,10,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,237,103,0,340
48,City,Delhi,19,0,0,19,122,110,0,232,29,27,0,56,5,52,0,57,8,2,0,10,7,1,0,8,73,28,0,101,23,19,0,42,0,10,0,10,486,214,0,700,169,42,0,211,0,0,0,0,9,5,0,14,24,0,0,24,8,3,0,11,128,34,0,162,1,3,0,4,60,0,0,60,0,0,0,0,0,0,0,0,21,23,0,44,25,5,0,30,89,7,0,96,25,4,0,29,2,2,0,4,0,0,0,0,0,0,0,0,87,4,0,91,330,174,0,504,197,96,0,293,1656,713,0,2369
49,City,Dhanbad,0,0,0,0,0,22,0,22,0,10,0,10,0,6,0,6,0,0,0,0,0,6,0,6,0,0,0,0,33,24,0,57,0,0,0,0,22,22,0,44,14,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,16,0,0,0,0,9,7,0,16,0,0,0,0,7,0,0,7,0,0,0,0,16,22,0,38,0,0,0,0,35,0,0,35,17,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,108,0,261
50,City,Durg Bhilainagar,1,0,0,1,0,9,0,9,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,196,62,0,258,51,16,0,67,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,9,45,13,0,58,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,7,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,90,0,351
51,City,Faridabad,10,0,0,10,30,34,0,64,17,8,0,25,0,10,0,10,0,6,0,6,0,0,0,0,13,10,0,23,0,0,0,0,0,0,0,0,10,2,0,12,8,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,3,1,0,4,8,0,0,8,0,0,0,0,0,0,0,0,6,1,0,7,8,0,0,8,9,0,0,9,0,0,0,0,5,1,0,6,0,0,0,0,0,0,0,0,0,1,0,1,4,8,0,12,0,0,0,0,101,48,0,149
52,City,Ghaziabad,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,2,5,0,7,0,0,0,0,76,31,0,107,15,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,21,1,0,0,1,0,0,0,0,8,0,0,8,3,0,0,3,0,0,0,0,10,6,0,16,0,0,0,0,5,0,0,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,10,0,0,0,0,129,54,0,183
53,City,Gwalior,4,0,0,4,1,19,0,20,0,0,0,0,0,19,0,19,1,0,0,1,0,0,0,0,0,0,0,0,4,9,0,13,0,0,0,0,81,37,0,118,54,20,0,74,0,0,0,0,1,0,0,1,1,0,0,1,52,20,0,72,0,0,0,0,2,0,0,2,10,2,0,12,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,159,90,0,249
54,City,Hyderabad,19,6,0,25,4,3,0,7,4,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,9,0,0,0,0,123,62,0,185,77,35,0,112,0,0,0,0,1,0,0,1,11,6,0,17,26,13,0,39,39,16,0,55,5,0,0,5,9,0,0,9,0,0,0,0,0,0,0,0,14,2,0,16,7,5,0,12,22,0,0,22,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,0,58,41,32,0,73,359,177,0,536
55,City,Indore,0,0,0,0,0,23,0,23,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,168,73,0,241,20,8,0,28,1,0,0,1,2,0,0,2,1,0,0,1,16,8,0,24,0,0,0,0,4,1,0,5,42,0,0,42,0,0,0,0,0,0,0,0,6,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,151,54,0,205,15,6,0,21,409,172,0,581
56,City,Jabalpur,0,0,0,0,25,28,0,53,0,0,0,0,0,13,0,13,14,15,0,29,11,0,0,11,0,0,0,0,8,5,0,13,1,0,0,1,87,32,0,119,22,3,0,25,0,0,0,0,9,0,0,9,3,0,0,3,10,3,0,13,0,0,0,0,0,0,0,0,22,2,0,24,0,0,0,0,0,0,0,0,10,12,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,175,84,0,259
57,City,Jaipur,3,1,0,4,0,14,0,14,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,4,3,4,0,7,0,0,0,0,78,22,0,100,15,5,0,20,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,5,12,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6,0,0,0,0,2,0,0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,69,0,257,48,19,0,67,345,136,0,481
58,City,Jamshedpur,2,2,0,4,3,4,0,7,0,0,0,0,0,0,0,0,3,1,0,4,0,3,0,3,0,0,0,0,14,10,0,24,0,1,0,1,7,5,0,12,3,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,0,3,0,0,3,5,0,0,5,2,0,0,2,0,0,0,0,10,5,0,15,3,1,0,4,1,1,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,5,3,2,0,5,5,2,0,7,66,39,0,105
59,City,Jodhpur,0,0,0,0,3,4,0,7,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,2,0,5,0,0,0,0,2,1,0,3,46,19,0,65,0,0,0,0,5,3,0,8,0,0,0,0,35,13,0,48,6,3,0,9,0,2,0,2,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1,1,0,2,12,3,0,15,86,32,0,118
60,City,Kannur,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,77,41,0,118,12,5,0,17,0,0,0,0,3,2,0,5,0,0,0,0,2,3,0,5,7,0,0,7,1,0,0,1,10,0,0,10,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,107,49,0,156
61,City,Kanpur,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,13,11,15,0,26,222,194,0,416,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,7,0,12,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,228,0,480
62,City,Kochi,2,0,0,2,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,17,0,71,35,16,0,51,0,1,0,1,1,1,0,2,0,0,0,0,20,10,0,30,14,4,0,18,0,0,0,0,9,0,0,9,1,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30,7,0,37,0,0,0,0,138,41,0,179
